customer_number,Cluster
14,1
45,1
52,0
61,1
63,1
67,1
68,1
71,1
77,0
81,4
83,1
85,1
108,1
110,4
111,0
117,0
119,0
123,4
124,0
133,1
136,4
140,1
144,1
149,4
153,1
156,0
157,1
166,4
170,2
176,2
182,0
186,0
187,4
191,4
198,1
201,0
202,1
206,1
212,0
215,1
218,0
221,1
230,4
231,0
232,0
236,1
244,1
247,1
256,1
257,4
258,3
263,2
269,1
275,4
276,1
277,0
280,0
281,0
283,1
305,3
308,0
309,1
312,1
320,1
324,1
328,4
341,0
342,0
349,0
350,1
352,1
356,0
357,0
359,1
362,0
367,0
368,0
372,1
385,1
386,1
395,0
398,3
401,1
404,1
409,4
412,3
419,1
426,1
427,1
433,2
434,0
445,1
447,4
459,0
474,3
475,1
496,1
498,0
507,1
510,1
515,1
521,0
523,4
535,1
538,0
540,0
541,4
542,1
550,0
559,0
562,0
571,1
572,2
579,1
584,1
588,4
589,4
594,0
611,1
616,0
618,1
620,3
635,0
646,0
647,0
649,4
652,1
655,1
657,0
662,1
667,3
669,3
674,1
687,0
697,0
704,0
711,0
712,4
717,1
724,0
725,4
732,3
734,1
735,1
737,0
746,0
752,0
755,4
759,4
770,1
777,4
786,0
787,0
788,1
792,2
795,4
808,1
825,1
827,0
828,1
832,1
838,2
846,0
848,1
850,4
858,1
859,1
867,1
871,2
872,1
896,3
898,0
905,1
906,0
910,1
912,1
914,1
919,4
921,0
925,3
928,3
935,4
937,2
942,1
945,4
946,0
951,0
953,1
972,4
974,1
977,1
1008,1
1015,4
1018,0
1019,1
1024,4
1030,1
1031,1
1037,2
1043,0
1045,4
1046,3
1050,3
1060,3
1064,1
1071,4
1073,3
1074,0
1075,4
1076,0
1078,4
1079,0
1081,0
1083,0
1089,4
1096,3
1101,4
1109,1
1113,1
1117,1
1118,0
1121,4
1122,0
1128,0
1129,0
1143,1
1145,3
1147,0
1149,1
1152,1
1163,0
1168,1
1172,1
1174,4
1195,1
1201,0
1206,0
1212,1
1218,1
1222,3
1223,1
1224,4
1226,0
1228,2
1233,1
1241,0
1242,1
1250,0
1253,0
1254,0
1257,1
1265,0
1267,1
1268,0
1281,1
1284,4
1286,4
1292,2
1301,1
1308,4
1322,3
1325,4
1330,1
1340,4
1357,0
1364,1
1378,1
1379,3
1382,4
1388,1
1395,3
1397,2
1399,0
1406,1
1412,0
1413,1
1419,0
1421,1
1432,1
1433,1
1437,0
1442,0
1446,1
1454,0
1461,2
1464,1
1469,3
1473,1
1474,4
1480,2
1484,1
1497,1
1500,4
1508,0
1509,4
1511,4
1514,4
1519,4
1520,1
1524,1
1529,1
1540,4
1557,4
1559,1
1567,1
1579,2
1580,4
1588,0
1589,1
1594,0
1595,1
1604,1
1617,1
1623,0
1626,2
1642,3
1652,0
1654,0
1657,1
1663,0
1669,4
1671,1
1676,1
1696,1
1697,0
1704,3
1707,0
1712,1
1716,4
1717,3
1721,0
1722,0
1730,4
1731,4
1759,0
1760,0
1762,1
1764,4
1770,4
1774,0
1780,1
1793,1
1799,1
1800,1
1805,4
1820,1
1831,2
1832,1
1849,0
1864,4
1865,4
1868,4
1869,4
1874,2
1886,0
1891,2
1893,4
1894,1
1901,1
1903,1
1904,0
1905,4
1910,3
1911,4
1918,1
1922,0
1923,0
1925,1
1926,0
1932,1
1935,2
1937,1
1938,0
1939,0
1943,1
1944,4
1969,1
1978,0
1979,0
1988,1
1989,1
1999,1
2011,4
2014,1
2019,1
2024,0
2029,1
2049,0
2056,4
2063,1
2066,0
2067,0
2083,1
2110,4
2111,1
2117,0
2125,0
2131,1
2132,2
2138,2
2139,0
2140,1
2141,0
2146,0
2154,4
2162,4
2174,1
2177,2
2182,4
2183,4
2192,1
2198,1
2207,0
2209,1
2214,1
2216,1
2225,1
2226,1
2232,2
2233,1
2239,1
2242,4
2243,4
2256,2
2260,1
2263,0
2275,0
2277,0
2279,4
2282,4
2290,1
2291,4
2301,3
2312,3
2313,4
2322,2
2326,2
2327,4
2352,4
2359,3
2366,0
2370,0
2376,0
2377,2
2379,4
2388,1
2392,4
2414,1
2417,4
2427,0
2431,1
2438,4
2442,0
2445,0
2450,0
2451,1
2452,0
2466,1
2469,0
2470,3
2473,1
2476,2
2498,1
2499,4
2500,0
2501,2
2503,0
2511,1
2514,1
2519,1
2522,4
2532,4
2539,1
2559,1
2566,0
2568,0
2573,1
2575,2
2581,2
2588,0
2590,1
2600,1
2603,0
2604,1
2606,0
2614,0
2622,4
2623,4
2628,0
2636,3
2638,4
2642,0
2643,1
2645,4
2649,2
2653,1
2657,0
2660,1
2662,4
2664,1
2667,1
2669,4
2671,1
2678,0
2684,0
2692,2
2695,1
2705,1
2716,1
2737,1
2744,1
2754,0
2758,4
2760,0
2761,0
2764,1
2772,0
2777,2
2780,1
2782,1
2784,0
2792,3
2795,4
2798,0
2802,2
2807,0
2820,1
2832,4
2833,1
2834,4
2837,0
2842,4
2848,4
2852,1
2856,1
2861,1
2862,1
2865,1
2870,4
2874,1
2880,1
2882,2
2883,0
2888,0
2892,2
2897,0
2898,4
2899,3
2901,1
2903,4
2905,2
2906,0
2916,1
2917,0
2920,1
2921,1
2922,3
2923,1
2925,0
2928,1
2937,1
2977,0
2981,1
2982,0
2986,2
2988,2
2989,1
2994,0
3003,0
3004,0
3008,2
3023,0
3027,1
3028,0
3038,0
3046,3
3050,4
3054,4
3064,4
