Cluster,total_quantity,total_spend,frequency,avg_quantity_per_visit,avg_spend_per_visit,avg_spend_per_item,recency,SPEND_BAKERY,SPEND_CASHPOINT,SPEND_CONFECTIONARY,SPEND_DAIRY,SPEND_DELI,SPEND_DISCOUNT_BAKERY,SPEND_DRINKS,SPEND_FROZEN,SPEND_FRUIT_VEG,SPEND_GROCERY_FOOD,SPEND_GROCERY_HEALTH_PETS,SPEND_LOTTERY,SPEND_MEAT,SPEND_NEWSPAPERS_MAGAZINES,SPEND_PRACTICAL_ITEMS,SPEND_PREPARED_MEALS,SPEND_SEASONAL_GIFTING,SPEND_SOFT_DRINKS,SPEND_TOBACCO,SPEND_WORLD_FOODS
554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554
0,332.6371841,446.9984116,27.4801444,14.55451749,19.42921867,1.415590695,31.62454874,19.3999639,13.62281588,37.11445848,44.84388087,8.528574007,2.226841155,46.73523466,23.97023466,45.87581227,42.13602888,39.29314079,1.400722022,38.12974729,5.279259928,0.69366426,25.0815704,4.055162455,14.38530686,29.81684116,4.409151625
0,232.2983991,319.1079509,19.24150697,9.78392083,12.86927168,0.618633963,37.84473625,18.60354773,115.5690581,38.52807334,39.1099908,17.04038662,10.00710892,77.67198113,29.99126098,51.47396501,39.53249067,42.10477593,8.538344499,44.54886456,9.401039571,2.407626468,31.37186037,10.19284792,27.96730333,93.13555351,7.424613567
0,27,30.23,1,1.875,3.621875,0.639378882,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,163,215.305,14,7.678796223,10.76966387,1.108489454,8,6.4975,0,13.3275,17.59,0,0,0,5.56,13.375,13.545,10.89,0,8.8475,0,0,5.595,0,2.14,0,0
0,268,379.33,24,11.94590643,15.48605575,1.276539467,14,13.715,0,25.5,34.845,1.695,0,15.515,13.24,31.315,29.86,25.935,0,22.355,2,0,16.09,0.84,6.83,0,1.62
0,443,593.245,35,17.95,24.47400338,1.541002273,38.75,27.0625,0,46.45,59.5875,9.03,0,58.935,32.405,57.9875,58.48,52.12,0,50.9125,6.4225,0,32.1075,3.82,17.0625,9.235,5.79
0,1441,2407.45,129,60.04166667,73.75,7.919243421,165,149.37,2137.01,320,274.82,139.49,173.06,559.41,204.56,489.42,226.29,321.36,152,317.54,84.69,24.8,234.63,116.68,445.95,765.92,62.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster,total_quantity,total_spend,frequency,avg_quantity_per_visit,avg_spend_per_visit,avg_spend_per_item,recency,SPEND_BAKERY,SPEND_CASHPOINT,SPEND_CONFECTIONARY,SPEND_DAIRY,SPEND_DELI,SPEND_DISCOUNT_BAKERY,SPEND_DRINKS,SPEND_FROZEN,SPEND_FRUIT_VEG,SPEND_GROCERY_FOOD,SPEND_GROCERY_HEALTH_PETS,SPEND_LOTTERY,SPEND_MEAT,SPEND_NEWSPAPERS_MAGAZINES,SPEND_PRACTICAL_ITEMS,SPEND_PREPARED_MEALS,SPEND_SEASONAL_GIFTING,SPEND_SOFT_DRINKS,SPEND_TOBACCO,SPEND_WORLD_FOODS
